Step,Alpha,Population
0,1.5,22.5
0,1.55102,0
0,1.60204,0
0,1.65306,0
0,1.70408,0
0,1.7551,0
0,1.80612,0
0,1.85714,0
0,1.90816,0
0,1.95918,0
0,2.0102,0
0,2.06122,0
0,2.11224,0
0,2.16327,0
0,2.21429,0
0,2.26531,0
0,2.31633,0
0,2.36735,0
0,2.41837,0
0,2.46939,0
0,2.52041,0
0,2.57143,0
0,2.62245,0
0,2.67347,0
0,2.72449,0
0,2.77551,0
0,2.82653,0
0,2.87755,0
0,2.92857,0
0,2.97959,0
0,3.03061,0
0,3.08163,0
0,3.13265,0
0,3.18367,0
0,3.23469,0
0,3.28571,0
0,3.33673,0
0,3.38776,0
0,3.43878,0
0,3.4898,0
0,3.54082,0
0,3.59184,0
0,3.64286,0
0,3.69388,0
0,3.7449,0
0,3.79592,0
0,3.84694,0
0,3.89796,0
0,3.94898,0
0,4,0
1,1.5,6.51507
1,1.55102,0.723897
1,1.60204,0
1,1.65306,0
1,1.70408,0
1,1.7551,0
1,1.80612,0
1,1.85714,0
1,1.90816,0
1,1.95918,0
1,2.0102,0
1,2.06122,0
1,2.11224,0
1,2.16327,0
1,2.21429,0
1,2.26531,0
1,2.31633,0
1,2.36735,0
1,2.41837,0
1,2.46939,0
1,2.52041,0
1,2.57143,0
1,2.62245,0
1,2.67347,0
1,2.72449,0
1,2.77551,0
1,2.82653,0
1,2.87755,0
1,2.92857,0
1,2.97959,0
1,3.03061,0
1,3.08163,0
1,3.13265,0
1,3.18367,0
1,3.23469,0
1,3.28571,0
1,3.33673,0
1,3.38776,0
1,3.43878,0
1,3.4898,0
1,3.54082,0
1,3.59184,0
1,3.64286,0
1,3.69388,0
1,3.7449,0
1,3.79592,0
1,3.84694,0
1,3.89796,0
1,3.94898,0
1,4,0
2,1.5,5.77205
2,1.55102,1.46494
2,1.60204,0
2,1.65306,0
2,1.70408,0
2,1.7551,0
2,1.80612,0
2,1.85714,0
2,1.90816,0
2,1.95918,0
2,2.0102,0
2,2.06122,0
2,2.11224,0
2,2.16327,0
2,2.21429,0
2,2.26531,0
2,2.31633,0
2,2.36735,0
2,2.41837,0
2,2.46939,0
2,2.52041,0
2,2.57143,0
2,2.62245,0
2,2.67347,0
2,2.72449,0
2,2.77551,0
2,2.82653,0
2,2.87755,0
2,2.92857,0
2,2.97959,0
2,3.03061,0
2,3.08163,0
2,3.13265,0
2,3.18367,0
2,3.23469,0
2,3.28571,0
2,3.33673,0
2,3.38776,0
2,3.43878,0
2,3.4898,0
2,3.54082,0
2,3.59184,0
2,3.64286,0
2,3.69388,0
2,3.7449,0
2,3.79592,0
2,3.84694,0
2,3.89796,0
2,3.94898,0
2,4,0
3,1.5,5.25958
3,1.55102,2.366
3,1.60204,0
3,1.65306,0
3,1.70408,0
3,1.7551,0
3,1.80612,0
3,1.85714,0
3,1.90816,0
3,1.95918,0
3,2.0102,0
3,2.06122,0
3,2.11224,0
3,2.16327,0
3,2.21429,0
3,2.26531,0
3,2.31633,0
3,2.36735,0
3,2.41837,0
3,2.46939,0
3,2.52041,0
3,2.57143,0
3,2.62245,0
3,2.67347,0
3,2.72449,0
3,2.77551,0
3,2.82653,0
3,2.87755,0
3,2.92857,0
3,2.97959,0
3,3.03061,0
3,3.08163,0
3,3.13265,0
3,3.18367,0
3,3.23469,0
3,3.28571,0
3,3.33673,0
3,3.38776,0
3,3.43878,0
3,3.4898,0
3,3.54082,0
3,3.59184,0
3,3.64286,0
3,3.69388,0
3,3.7449,0
3,3.79592,0
3,3.84694,0
3,3.89796,0
3,3.94898,0
3,4,0
4,1.5,4.15856
4,1.55102,3.01316
4,1.60204,0
4,1.65306,0
4,1.70408,0
4,1.7551,0
4,1.80612,0
4,1.85714,0
4,1.90816,0
4,1.95918,0
4,2.0102,0
4,2.06122,0
4,2.11224,0
4,2.16327,0
4,2.21429,0
4,2.26531,0
4,2.31633,0
4,2.36735,0
4,2.41837,0
4,2.46939,0
4,2.52041,0
4,2.57143,0
4,2.62245,0
4,2.67347,0
4,2.72449,0
4,2.77551,0
4,2.82653,0
4,2.87755,0
4,2.92857,0
4,2.97959,0
4,3.03061,0
4,3.08163,0
4,3.13265,0
4,3.18367,0
4,3.23469,0
4,3.28571,0
4,3.33673,0
4,3.38776,0
4,3.43878,0
4,3.4898,0
4,3.54082,0
4,3.59184,0
4,3.64286,0
4,3.69388,0
4,3.7449,0
4,3.79592,0
4,3.84694,0
4,3.89796,0
4,3.94898,0
4,4,0
5,1.5,4.78788
5,1.55102,3.43111
5,1.60204,0
5,1.65306,0
5,1.70408,0
5,1.7551,0
5,1.80612,0
5,1.85714,0
5,1.90816,0
5,1.95918,0
5,2.0102,0
5,2.06122,0
5,2.11224,0
5,2.16327,0
5,2.21429,0
5,2.26531,0
5,2.31633,0
5,2.36735,0
5,2.41837,0
5,2.46939,0
5,2.52041,0
5,2.57143,0
5,2.62245,0
5,2.67347,0
5,2.72449,0
5,2.77551,0
5,2.82653,0
5,2.87755,0
5,2.92857,0
5,2.97959,0
5,3.03061,0
5,3.08163,0
5,3.13265,0
5,3.18367,0
5,3.23469,0
5,3.28571,0
5,3.33673,0
5,3.38776,0
5,3.43878,0
5,3.4898,0
5,3.54082,0
5,3.59184,0
5,3.64286,0
5,3.69388,0
5,3.7449,0
5,3.79592,0
5,3.84694,0
5,3.89796,0
5,3.94898,0
5,4,0
6,1.5,4.21204
6,1.55102,3.32044
6,1.60204,0.362887
6,1.65306,0
6,1.70408,0
6,1.7551,0
6,1.80612,0
6,1.85714,0
6,1.90816,0
6,1.95918,0
6,2.0102,0
6,2.06122,0
6,2.11224,0
6,2.16327,0
6,2.21429,0
6,2.26531,0
6,2.31633,0
6,2.36735,0
6,2.41837,0
6,2.46939,0
6,2.52041,0
6,2.57143,0
6,2.62245,0
6,2.67347,0
6,2.72449,0
6,2.77551,0
6,2.82653,0
6,2.87755,0
6,2.92857,0
6,2.97959,0
6,3.03061,0
6,3.08163,0
6,3.13265,0
6,3.18367,0
6,3.23469,0
6,3.28571,0
6,3.33673,0
6,3.38776,0
6,3.43878,0
6,3.4898,0
6,3.54082,0
6,3.59184,0
6,3.64286,0
6,3.69388,0
6,3.7449,0
6,3.79592,0
6,3.84694,0
6,3.89796,0
6,3.94898,0
6,4,0
7,1.5,3.56743
7,1.55102,4.22122
7,1.60204,0.465675
7,1.65306,0
7,1.70408,0
7,1.7551,0
7,1.80612,0
7,1.85714,0
7,1.90816,0
7,1.95918,0
7,2.0102,0
7,2.06122,0
7,2.11224,0
7,2.16327,0
7,2.21429,0
7,2.26531,0
7,2.31633,0
7,2.36735,0
7,2.41837,0
7,2.46939,0
7,2.52041,0
7,2.57143,0
7,2.62245,0
7,2.67347,0
7,2.72449,0
7,2.77551,0
7,2.82653,0
7,2.87755,0
7,2.92857,0
7,2.97959,0
7,3.03061,0
7,3.08163,0
7,3.13265,0
7,3.18367,0
7,3.23469,0
7,3.28571,0
7,3.33673,0
7,3.38776,0
7,3.43878,0
7,3.4898,0
7,3.54082,0
7,3.59184,0
7,3.64286,0
7,3.69388,0
7,3.7449,0
7,3.79592,0
7,3.84694,0
7,3.89796,0
7,3.94898,0
7,4,0
8,1.5,2.53573
8,1.55102,4.33016
8,1.60204,0.552985
8,1.65306,0
8,1.70408,0
8,1.7551,0
8,1.80612,0
8,1.85714,0
8,1.90816,0
8,1.95918,0
8,2.0102,0
8,2.06122,0
8,2.11224,0
8,2.16327,0
8,2.21429,0
8,2.26531,0
8,2.31633,0
8,2.36735,0
8,2.41837,0
8,2.46939,0
8,2.52041,0
8,2.57143,0
8,2.62245,0
8,2.67347,0
8,2.72449,0
8,2.77551,0
8,2.82653,0
8,2.87755,0
8,2.92857,0
8,2.97959,0
8,3.03061,0
8,3.08163,0
8,3.13265,0
8,3.18367,0
8,3.23469,0
8,3.28571,0
8,3.33673,0
8,3.38776,0
8,3.43878,0
8,3.4898,0
8,3.54082,0
8,3.59184,0
8,3.64286,0
8,3.69388,0
8,3.7449,0
8,3.79592,0
8,3.84694,0
8,3.89796,0
8,3.94898,0
8,4,0
9,1.5,1.87814
9,1.55102,4.55662
9,1.60204,0.64926
9,1.65306,0
9,1.70408,0
9,1.7551,0
9,1.80612,0
9,1.85714,0
9,1.90816,0
9,1.95918,0
9,2.0102,0
9,2.06122,0
9,2.11224,0
9,2.16327,0
9,2.21429,0
9,2.26531,0
9,2.31633,0
9,2.36735,0
9,2.41837,0
9,2.46939,0
9,2.52041,0
9,2.57143,0
9,2.62245,0
9,2.67347,0
9,2.72449,0
9,2.77551,0
9,2.82653,0
9,2.87755,0
9,2.92857,0
9,2.97959,0
9,3.03061,0
9,3.08163,0
9,3.13265,0
9,3.18367,0
9,3.23469,0
9,3.28571,0
9,3.33673,0
9,3.38776,0
9,3.43878,0
9,3.4898,0
9,3.54082,0
9,3.59184,0
9,3.64286,0
9,3.69388,0
9,3.7449,0
9,3.79592,0
9,3.84694,0
9,3.89796,0
9,3.94898,0
9,4,0
10,1.5,1.47869
10,1.55102,4.99154
10,1.60204,0.828746
10,1.65306,0
10,1.70408,0
10,1.7551,0
10,1.80612,0
10,1.85714,0
10,1.90816,0
10,1.95918,0
10,2.0102,0
10,2.06122,0
10,2.11224,0
10,2.16327,0
10,2.21429,0
10,2.26531,0
10,2.31633,0
10,2.36735,0
10,2.41837,0
10,2.46939,0
10,2.52041,0
10,2.57143,0
10,2.62245,0
10,2.67347,0
10,2.72449,0
10,2.77551,0
10,2.82653,0
10,2.87755,0
10,2.92857,0
10,2.97959,0
10,3.03061,0
10,3.08163,0
10,3.13265,0
10,3.18367,0
10,3.23469,0
10,3.28571,0
10,3.33673,0
10,3.38776,0
10,3.43878,0
10,3.4898,0
10,3.54082,0
10,3.59184,0
10,3.64286,0
10,3.69388,0
10,3.7449,0
10,3.79592,0
10,3.84694,0
10,3.89796,0
10,3.94898,0
10,4,0
11,1.5,1.17592
11,1.55102,4.49836
11,1.60204,1.51133
11,1.65306,0
11,1.70408,0
11,1.7551,0
11,1.80612,0
11,1.85714,0
11,1.90816,0
11,1.95918,0
11,2.0102,0
11,2.06122,0
11,2.11224,0
11,2.16327,0
11,2.21429,0
11,2.26531,0
11,2.31633,0
11,2.36735,0
11,2.41837,0
11,2.46939,0
11,2.52041,0
11,2.57143,0
11,2.62245,0
11,2.67347,0
11,2.72449,0
11,2.77551,0
11,2.82653,0
11,2.87755,0
11,2.92857,0
11,2.97959,0
11,3.03061,0
11,3.08163,0
11,3.13265,0
11,3.18367,0
11,3.23469,0
11,3.28571,0
11,3.33673,0
11,3.38776,0
11,3.43878,0
11,3.4898,0
11,3.54082,0
11,3.59184,0
11,3.64286,0
11,3.69388,0
11,3.7449,0
11,3.79592,0
11,3.84694,0
11,3.89796,0
11,3.94898,0
11,4,0
12,1.5,1.11643
12,1.55102,4.67765
12,1.60204,2.61033
12,1.65306,0
12,1.70408,0
12,1.7551,0
12,1.80612,0
12,1.85714,0
12,1.90816,0
12,1.95918,0
12,2.0102,0
12,2.06122,0
12,2.11224,0
12,2.16327,0
12,2.21429,0
12,2.26531,0
12,2.31633,0
12,2.36735,0
12,2.41837,0
12,2.46939,0
12,2.52041,0
12,2.57143,0
12,2.62245,0
12,2.67347,0
12,2.72449,0
12,2.77551,0
12,2.82653,0
12,2.87755,0
12,2.92857,0
12,2.97959,0
12,3.03061,0
12,3.08163,0
12,3.13265,0
12,3.18367,0
12,3.23469,0
12,3.28571,0
12,3.33673,0
12,3.38776,0
12,3.43878,0
12,3.4898,0
12,3.54082,0
12,3.59184,0
12,3.64286,0
12,3.69388,0
12,3.7449,0
12,3.79592,0
12,3.84694,0
12,3.89796,0
12,3.94898,0
12,4,0
13,1.5,0.85065
13,1.55102,3.84632
13,1.60204,3.31003
13,1.65306,0
13,1.70408,0
13,1.7551,0
13,1.80612,0
13,1.85714,0
13,1.90816,0
13,1.95918,0
13,2.0102,0
13,2.06122,0
13,2.11224,0
13,2.16327,0
13,2.21429,0
13,2.26531,0
13,2.31633,0
13,2.36735,0
13,2.41837,0
13,2.46939,0
13,2.52041,0
13,2.57143,0
13,2.62245,0
13,2.67347,0
13,2.72449,0
13,2.77551,0
13,2.82653,0
13,2.87755,0
13,2.92857,0
13,2.97959,0
13,3.03061,0
13,3.08163,0
13,3.13265,0
13,3.18367,0
13,3.23469,0
13,3.28571,0
13,3.33673,0
13,3.38776,0
13,3.43878,0
13,3.4898,0
13,3.54082,0
13,3.59184,0
13,3.64286,0
13,3.69388,0
13,3.7449,0
13,3.79592,0
13,3.84694,0
13,3.89796,0
13,3.94898,0
13,4,0
14,1.5,0.673143
14,1.55102,3.38269
14,1.60204,4.22714
14,1.65306,0.00698163
14,1.70408,0
14,1.7551,0
14,1.80612,0
14,1.85714,0
14,1.90816,0
14,1.95918,0
14,2.0102,0
14,2.06122,0
14,2.11224,0
14,2.16327,0
14,2.21429,0
14,2.26531,0
14,2.31633,0
14,2.36735,0
14,2.41837,0
14,2.46939,0
14,2.52041,0
14,2.57143,0
14,2.62245,0
14,2.67347,0
14,2.72449,0
14,2.77551,0
14,2.82653,0
14,2.87755,0
14,2.92857,0
14,2.97959,0
14,3.03061,0
14,3.08163,0
14,3.13265,0
14,3.18367,0
14,3.23469,0
14,3.28571,0
14,3.33673,0
14,3.38776,0
14,3.43878,0
14,3.4898,0
14,3.54082,0
14,3.59184,0
14,3.64286,0
14,3.69388,0
14,3.7449,0
14,3.79592,0
14,3.84694,0
14,3.89796,0
14,3.94898,0
14,4,0
15,1.5,0.498598
15,1.55102,3.16224
15,1.60204,4.26878
15,1.65306,0.519324
15,1.70408,0
15,1.7551,0
15,1.80612,0
15,1.85714,0
15,1.90816,0
15,1.95918,0
15,2.0102,0
15,2.06122,0
15,2.11224,0
15,2.16327,0
15,2.21429,0
15,2.26531,0
15,2.31633,0
15,2.36735,0
15,2.41837,0
15,2.46939,0
15,2.52041,0
15,2.57143,0
15,2.62245,0
15,2.67347,0
15,2.72449,0
15,2.77551,0
15,2.82653,0
15,2.87755,0
15,2.92857,0
15,2.97959,0
15,3.03061,0
15,3.08163,0
15,3.13265,0
15,3.18367,0
15,3.23469,0
15,3.28571,0
15,3.33673,0
15,3.38776,0
15,3.43878,0
15,3.4898,0
15,3.54082,0
15,3.59184,0
15,3.64286,0
15,3.69388,0
15,3.7449,0
15,3.79592,0
15,3.84694,0
15,3.89796,0
15,3.94898,0
15,4,0
16,1.5,0.369927
16,1.55102,2.56742
16,1.60204,4.91484
16,1.65306,0.581191
16,1.70408,0
16,1.7551,0
16,1.80612,0
16,1.85714,0
16,1.90816,0
16,1.95918,0
16,2.0102,0
16,2.06122,0
16,2.11224,0
16,2.16327,0
16,2.21429,0
16,2.26531,0
16,2.31633,0
16,2.36735,0
16,2.41837,0
16,2.46939,0
16,2.52041,0
16,2.57143,0
16,2.62245,0
16,2.67347,0
16,2.72449,0
16,2.77551,0
16,2.82653,0
16,2.87755,0
16,2.92857,0
16,2.97959,0
16,3.03061,0
16,3.08163,0
16,3.13265,0
16,3.18367,0
16,3.23469,0
16,3.28571,0
16,3.33673,0
16,3.38776,0
16,3.43878,0
16,3.4898,0
16,3.54082,0
16,3.59184,0
16,3.64286,0
16,3.69388,0
16,3.7449,0
16,3.79592,0
16,3.84694,0
16,3.89796,0
16,3.94898,0
16,4,0
17,1.5,0.264157
17,1.55102,2.28034
17,1.60204,4.62341
17,1.65306,1.27004
17,1.70408,0
17,1.7551,0
17,1.80612,0
17,1.85714,0
17,1.90816,0
17,1.95918,0
17,2.0102,0
17,2.06122,0
17,2.11224,0
17,2.16327,0
17,2.21429,0
17,2.26531,0
17,2.31633,0
17,2.36735,0
17,2.41837,0
17,2.46939,0
17,2.52041,0
17,2.57143,0
17,2.62245,0
17,2.67347,0
17,2.72449,0
17,2.77551,0
17,2.82653,0
17,2.87755,0
17,2.92857,0
17,2.97959,0
17,3.03061,0
17,3.08163,0
17,3.13265,0
17,3.18367,0
17,3.23469,0
17,3.28571,0
17,3.33673,0
17,3.38776,0
17,3.43878,0
17,3.4898,0
17,3.54082,0
17,3.59184,0
17,3.64286,0
17,3.69388,0
17,3.7449,0
17,3.79592,0
17,3.84694,0
17,3.89796,0
17,3.94898,0
17,4,0
18,1.5,0.187667
18,1.55102,1.7956
18,1.60204,4.91753
18,1.65306,1.5857
18,1.70408,0
18,1.7551,0
18,1.80612,0
18,1.85714,0
18,1.90816,0
18,1.95918,0
18,2.0102,0
18,2.06122,0
18,2.11224,0
18,2.16327,0
18,2.21429,0
18,2.26531,0
18,2.31633,0
18,2.36735,0
18,2.41837,0
18,2.46939,0
18,2.52041,0
18,2.57143,0
18,2.62245,0
18,2.67347,0
18,2.72449,0
18,2.77551,0
18,2.82653,0
18,2.87755,0
18,2.92857,0
18,2.97959,0
18,3.03061,0
18,3.08163,0
18,3.13265,0
18,3.18367,0
18,3.23469,0
18,3.28571,0
18,3.33673,0
18,3.38776,0
18,3.43878,0
18,3.4898,0
18,3.54082,0
