ExperimentType,VariedParam,VariedValue,b,theta,delta,gamma,MeanAlpha_s0,MeanAlpha_s1,PercentDiff
bLoop,b,5,5,1.68253,0.940568,1.24105,2.23844,2.4093,7.63321
bLoop,b,8,8,1.68253,0.940568,1.24105,2.23874,2.38433,6.50336
bLoop,b,11,11,1.68253,0.940568,1.24105,2.24429,2.34724,4.58741
bLoop,b,14,14,1.68253,0.940568,1.24105,2.24157,2.33778,4.29216
bLoop,b,17,17,1.68253,0.940568,1.24105,2.25099,2.33188,3.59355
bLoop,b,20,20,1.68253,0.940568,1.24105,2.24457,2.32371,3.52595
bLoop,b,5,5,1.21006,0.321742,1.40173,2.39289,2.46054,2.82702
bLoop,b,8,8,1.21006,0.321742,1.40173,2.40111,2.44347,1.76441
bLoop,b,11,11,1.21006,0.321742,1.40173,2.4031,2.43647,1.38852
bLoop,b,14,14,1.21006,0.321742,1.40173,2.4052,2.43556,1.26246
bLoop,b,17,17,1.21006,0.321742,1.40173,2.40816,2.43083,0.941286
bLoop,b,20,20,1.21006,0.321742,1.40173,2.40385,2.42272,0.785039
bLoop,b,5,5,1.34009,0.960049,2.2262,3.22693,3.32188,2.94236
bLoop,b,8,8,1.34009,0.960049,2.2262,3.23032,3.32364,2.88895
bLoop,b,11,11,1.34009,0.960049,2.2262,3.23423,3.32057,2.66961
bLoop,b,14,14,1.34009,0.960049,2.2262,3.23131,3.31413,2.56283
bLoop,b,17,17,1.34009,0.960049,2.2262,3.23192,3.30804,2.3551
bLoop,b,5,5,1.2389,0.307687,1.17129,2.17101,2.25933,4.068
bLoop,b,20,20,1.34009,0.960049,2.2262,3.2258,3.30572,2.47753
bLoop,b,8,8,1.2389,0.307687,1.17129,2.168,2.22538,2.64657
bLoop,b,11,11,1.2389,0.307687,1.17129,2.17585,2.2105,1.59282
bLoop,b,14,14,1.2389,0.307687,1.17129,2.17273,2.20341,1.41189
bLoop,b,17,17,1.2389,0.307687,1.17129,2.168,2.20616,1.76012
bLoop,b,5,5,0.956349,0.779666,0.948257,1.94698,2.10412,8.0713
bLoop,b,5,5,0.554039,0.851909,2.46537,0,0,0
bLoop,b,20,20,1.2389,0.307687,1.17129,2.17784,2.19657,0.860193
bLoop,b,8,8,0.956349,0.779666,0.948257,1.94869,2.10947,8.25053
bLoop,b,8,8,0.554039,0.851909,2.46537,0,0,0
bLoop,b,11,11,0.956349,0.779666,0.948257,1.95597,2.09831,7.2777
bLoop,b,5,5,1.17902,0.342889,0.785706,1.78927,1.91495,7.02399
bLoop,b,14,14,0.956349,0.779666,0.948257,1.94915,2.08925,7.18792
bLoop,b,11,11,0.554039,0.851909,2.46537,3.46479,0,-100
bLoop,b,17,17,0.956349,0.779666,0.948257,1.9519,2.09453,7.30719
bLoop,b,8,8,1.17902,0.342889,0.785706,1.79307,1.86687,4.11593
bLoop,b,14,14,0.554039,0.851909,2.46537,3.46202,0,-100
bLoop,b,20,20,0.956349,0.779666,0.948257,1.9434,2.08386,7.22748
bLoop,b,5,5,0.810668,0.292947,1.96887,2.97293,3.0078,1.17292
bLoop,b,5,5,0.585861,0.849909,2.38995,0,0,0
bLoop,b,11,11,1.17902,0.342889,0.785706,1.79077,1.85962,3.84471
bLoop,b,8,8,0.810668,0.292947,1.96887,2.96883,2.9973,0.959073
bLoop,b,14,14,1.17902,0.342889,0.785706,1.7932,1.84427,2.84778
bLoop,b,5,5,0.760608,0.801311,1.50412,2.50479,2.62327,4.73001
bLoop,b,17,17,0.554039,0.851909,2.46537,3.4667,3.59895,3.81485
bLoop,b,8,8,0.585861,0.849909,2.38995,3.39337,3.46386,2.07706
bLoop,b,11,11,0.810668,0.292947,1.96887,2.96562,3.00162,1.21377
bLoop,b,20,20,0.554039,0.851909,2.46537,3.46676,3.61578,4.29835
bLoop,b,5,5,0.521628,0.647056,1.20687,2.20528,2.33789,6.01311
bLoop,b,14,14,0.810668,0.292947,1.96887,2.95921,2.9975,1.29413
bLoop,b,17,17,1.17902,0.342889,0.785706,1.78288,1.83391,2.86224
bLoop,b,8,8,0.760608,0.801311,1.50412,2.50888,2.65232,5.71715
bLoop,b,11,11,0.585861,0.849909,2.38995,3.39092,3.51835,3.75782
bLoop,b,5,5,0.597232,0.418748,1.09284,2.09105,2.17737,4.12822
bLoop,b,20,20,1.17902,0.342889,0.785706,1.78809,1.84203,3.0164
bLoop,b,14,14,0.585861,0.849909,2.38995,3.38179,3.53029,4.39118
bLoop,b,17,17,0.810668,0.292947,1.96887,2.97823,2.99858,0.683481
bLoop,b,8,8,0.521628,0.647056,1.20687,2.20213,2.35352,6.87455
bLoop,b,5,5,1.90809,0.866094,0.837288,1.83776,2.0855,13.4806
bLoop,b,11,11,0.760608,0.801311,1.50412,2.49969,2.65399,6.1729
bLoop,b,20,20,0.810668,0.292947,1.96887,2.9601,2.98106,0.708121
bLoop,b,8,8,0.597232,0.418748,1.09284,2.09677,2.19253,4.56698
bLoop,b,14,14,0.760608,0.801311,1.50412,2.50808,2.65853,5.99852
bLoop,b,17,17,0.585861,0.849909,2.38995,3.38351,3.54502,4.77338
bLoop,b,11,11,0.521628,0.647056,1.20687,2.20755,2.36316,7.04863
bLoop,b,5,5,1.74412,0.615324,2.43438,3.43632,3.51122,2.17962
bLoop,b,20,20,0.585861,0.849909,2.38995,3.3968,3.55366,4.61763
bLoop,b,8,8,1.90809,0.866094,0.837288,1.84202,2.00042,8.59916
bLoop,b,14,14,0.521628,0.647056,1.20687,2.21344,2.36843,7.00248
bLoop,b,11,11,0.597232,0.418748,1.09284,2.09626,2.19469,4.69556
bLoop,b,5,5,1.05926,0.339418,1.74526,2.75009,2.79176,1.51517
bLoop,b,17,17,0.760608,0.801311,1.50412,2.50097,2.65893,6.31604
bLoop,b,8,8,1.74412,0.615324,2.43438,3.42901,3.48429,1.61227
bLoop,b,14,14,0.597232,0.418748,1.09284,2.09491,2.18342,4.225
bLoop,b,11,11,1.90809,0.866094,0.837288,1.84454,1.95469,5.97209
bLoop,b,20,20,0.760608,0.801311,1.50412,2.49523,2.65574,6.43272
bLoop,b,5,5,1.5522,0.885977,2.1666,3.15853,3.26551,3.38683
bLoop,b,17,17,0.521628,0.647056,1.20687,2.21518,2.37896,7.39349
bLoop,b,8,8,1.05926,0.339418,1.74526,2.74419,2.7827,1.40309
bLoop,b,14,14,1.90809,0.866094,0.837288,1.82963,1.93403,5.70567
bLoop,b,5,5,1.78098,0.768382,0.895247,1.89414,2.11137,11.4688
bLoop,b,11,11,1.74412,0.615324,2.43438,3.43826,3.46701,0.836057
bLoop,b,20,20,0.521628,0.647056,1.20687,2.20672,2.37584,7.66342
