s,MeanAlpha
0.08,1.59967
0.09,1.60886
0,1.59261
0.07,1.60773
0.05,1.60335
0.02,1.60649
0.01,1.60183
0.06,1.61192
0.04,1.60309
0.03,1.604
0.1,1.59899
0.12,1.61438
0.11,1.6068
0.13,1.60589
0.14,1.60313
0.15,1.60843
0.16,1.60877
0.17,1.60908
0.19,1.60363
0.18,1.60872
0.2,1.60553
0.21,1.60641
0.22,1.60874
0.23,1.60278
0.24,1.60651
0.25,1.60855
0.26,1.60904
0.27,1.61005
0.28,1.61279
0.29,1.60209
0.3,1.6166
0.32,1.61585
0.31,1.60289
0.33,1.60626
0.34,1.61796
0.35,1.61886
0.36,1.61911
0.37,1.61525
0.38,1.61791
0.39,1.61573
0.4,1.60166
0.41,1.61978
0.42,1.6206
0.43,1.61571
0.44,1.61543
0.45,1.62052
0.46,1.6145
0.47,1.61279
0.48,1.59975
0.49,1.6202
0.5,1.62598
0.51,1.61548
0.52,1.60632
0.53,1.61148
0.54,1.60409
0.55,1.61484
0.56,1.61456
0.57,1.61925
0.58,1.63046
0.59,1.63032
0.6,1.63798
0.61,1.64733
0.62,1.64533
0.63,1.66688
0.64,1.66046
0.65,1.67537
0.66,1.68008
0.67,1.69037
0.68,1.69929
0.69,1.71513
0.7,1.72009
0.71,1.72976
0.72,1.73312
0.73,1.74573
0.74,1.74896
0.75,1.75545
0.76,1.75993
0.77,1.77188
0.78,1.78123
0.79,1.7954
0.8,1.78592
0.81,1.7934
0.82,1.81625
0.83,1.82075
0.84,1.82567
0.85,1.84734
0.86,1.86178
0.87,1.86166
0.88,1.89439
0.89,1.88626
0.9,1.90615
0.91,1.90849
0.92,1.93712
0.93,1.95078
0.94,1.97087
0.95,1.97837
0.96,2.00289
0.97,2.02358
0.98,2.06173
0.99,2.08839
1,2.10428
