s,MeanAlpha,replicate
0.1,2.00562,0
0,2.00106,0
0.2,2.0044,0
0.3,2.01059,0
0.4,2.03097,0
0.5,2.03371,0
0,1.99517,1
0.1,2.00541,1
0.6,2.05477,0
0.7,2.06694,0
0.2,1.99552,1
0.8,2.10685,0
0.3,2.0142,1
0.9,2.13881,0
0.4,2.0239,1
0.5,2.02465,1
0.1,2.00678,2
0,1.98385,2
0.6,2.04711,1
1,2.18062,0
0.7,2.07476,1
0.2,2.0068,2
0.8,2.11172,1
0.3,2.01673,2
0.4,2.02874,2
0.9,2.14242,1
0.5,2.0458,2
1,2.18634,1
0,1.99699,3
0.6,2.04667,2
0.1,2.00782,3
0.2,2.01341,3
0.7,2.06983,2
0.3,2.01514,3
0.8,2.10745,2
0.9,2.14701,2
0.4,2.02325,3
0.5,2.03808,3
0,2.00767,4
1,2.18583,2
0.6,2.05561,3
0.1,2.01098,4
0.2,2.01628,4
0.7,2.07515,3
0.8,2.11323,3
0.3,2.0182,4
0.9,2.13635,3
0.4,2.01976,4
0.5,2.03326,4
0,2.00835,5
1,2.18577,3
0.1,2.00375,5
0.6,2.05251,4
0.7,2.07459,4
0.2,2.01157,5
0.8,2.11669,4
0.3,2.00482,5
0.9,2.13267,4
0.4,2.02039,5
0.5,2.03972,5
0,1.99243,6
0.6,2.05418,5
1,2.19661,4
0.1,1.98984,6
0.7,2.07203,5
0.2,2.00117,6
0.8,2.10409,5
0.3,2.01417,6
0.9,2.13647,5
0.4,2.02461,6
0.5,2.03665,6
0,1.99882,7
1,2.18494,5
0.1,2.00399,7
0.6,2.05064,6
0.7,2.07777,6
0.2,1.99994,7
0.8,2.10033,6
0.3,2.02188,7
0.9,2.13383,6
0.4,2.02827,7
0.5,2.0272,7
0,2.00452,8
1,2.19484,6
0.6,2.04986,7
0.1,2.00726,8
0.7,2.07868,7
0.2,2.00177,8
0.8,2.1001,7
0.3,2.02174,8
0.9,2.13196,7
0.4,2.02106,8
0.5,2.04332,8
0,2.01215,9
1,2.1908,7
0.6,2.05107,8
0.1,2.00052,9
0.7,2.07543,8
0.2,2.00119,9
0.8,2.09606,8
0.3,2.01305,9
0.9,2.14821,8
0.4,2.01847,9
0.5,2.03547,9
1,2.19863,8
0.6,2.06294,9
0.7,2.07909,9
0.8,2.10616,9
0.9,2.13267,9
1,2.18561,9
